payment_id,vendor_id,invoice_number,payment_date,amount_inr,status
1001,V-0001,INV-0838,2024-08-10,854955.16,PAID
1002,V-0001,INV-0610,2024-10-25,768314.69,PAID
1003,V-0001,INV-0415,2025-02-13,617860.17,PAID
1004,V-0001,INV-0502,2025-04-30,426549.79,PAID
1005,V-0001,INV-0320,2025-07-31,871679.12,PAID
1006,V-0001,INV-0388,2025-11-01,405533.11,PAID
1007,V-0001,INV-0769,2026-01-28,828850.23,PAID
1008,V-0001,INV-0108,2026-05-05,525920.41,PAID
1009,V-0002,INV-0370,2024-08-11,213049.04,PAID
1010,V-0002,INV-0474,2024-11-06,273111.85,PAID
1011,V-0002,INV-0675,2025-01-16,144535.43,PAID
1012,V-0002,INV-0175,2025-04-21,235111.45,PAID
1013,V-0002,INV-0663,2025-07-27,216553.89,PAID
1014,V-0002,INV-0796,2025-10-23,313746.15,PAID
1015,V-0002,INV-0199,2026-02-01,158517.58,PAID
1016,V-0002,INV-0447,2026-04-26,278711.97,PAID
1017,V-0003,INV-0247,2024-08-02,352230.74,PAID
1018,V-0003,INV-0612,2024-10-21,397543.58,PAID
1019,V-0003,INV-0830,2025-01-16,249084.05,PAID
1020,V-0003,INV-0567,2025-04-25,386373.90,PAID
1021,V-0003,INV-0243,2025-07-20,518786.56,PAID
1022,V-0003,INV-0266,2025-10-24,430362.15,PAID
1023,V-0003,INV-0962,2026-01-25,431446.08,PAID
1024,V-0003,INV-0948,2026-04-23,343001.62,PAID
1025,V-0004,INV-0676,2024-08-01,737050.85,PAID
1026,V-0004,INV-0477,2024-10-24,930789.79,PAID
1027,V-0004,INV-0526,2025-01-24,511008.08,PAID
1028,V-0004,INV-0842,2025-05-03,919497.88,PAID
1029,V-0004,INV-0711,2025-08-11,819927.66,PAID
1030,V-0004,INV-0901,2025-10-29,1020746.02,PAID
1031,V-0004,INV-0333,2026-02-12,789737.25,PAID
1032,V-0004,INV-0274,2026-05-06,792738.82,PAID
1033,V-0005,INV-0893,2024-08-01,556174.81,PAID
1034,V-0005,INV-0797,2024-11-10,339400.32,PAID
1035,V-0005,INV-0817,2025-01-22,499993.11,PAID
1036,V-0005,INV-0421,2025-04-19,290694.36,PAID
1037,V-0005,INV-0308,2025-07-28,439652.39,PAID
1038,V-0005,INV-0582,2025-10-27,576510.58,PAID
1039,V-0005,INV-0163,2026-02-09,561715.72,PAID
1040,V-0005,INV-0674,2026-05-06,479621.05,PAID
1041,V-0006,INV-0638,2024-07-27,887295.27,PAID
1042,V-0006,INV-0570,2024-10-27,1072302.65,PAID
1043,V-0006,INV-0462,2025-02-11,686304.07,PAID
1044,V-0006,INV-0797,2025-05-06,1016364.48,PAID
1045,V-0006,INV-0724,2025-08-04,906826.93,PAID
1046,V-0006,INV-0385,2025-10-29,1072712.34,PAID
1047,V-0006,INV-0404,2026-01-30,612504.53,PAID
1048,V-0006,INV-0806,2026-05-08,914106.90,PAID
1049,V-0007,INV-0457,2024-08-07,511048.20,PAID
1050,V-0007,INV-0838,2024-11-01,806767.77,PAID
1051,V-0007,INV-0792,2025-01-23,417575.66,PAID
1052,V-0007,INV-0504,2025-05-02,788220.71,PAID
1053,V-0007,INV-0923,2025-08-09,816405.62,PAID
1054,V-0007,INV-0831,2025-10-19,379352.74,PAID
1055,V-0007,INV-0771,2026-01-16,801750.20,PAID
1056,V-0007,INV-0306,2026-04-22,588655.32,PAID
1057,V-0008,INV-0675,2024-08-10,205019.40,PAID
1058,V-0008,INV-0730,2024-11-05,178143.79,PAID
1059,V-0008,INV-0151,2025-02-06,198624.72,PAID
1060,V-0008,INV-0753,2025-05-06,257203.46,PAID
1061,V-0008,INV-0438,2025-07-22,170700.52,PAID
1062,V-0008,INV-0889,2025-11-05,170770.24,PAID
1063,V-0008,INV-0261,2026-01-18,344235.48,PAID
