vendorId,legalName,registeredDomain,knownPhone,knownBankAccount,bankAccountAddedDate,firstInvoiceDate,address,contactEmail,taxId
V-001,Acme Industrial Supply,acmeindustrial.com,+1-555-854-2824,GB29 NWBK 6016 0001 0001 01,2024-03-24,2024-05-06,"107 Manufacturing Way, Columbus, OH 43215",ap@acmeindustrial.com,US-02-0419610
V-002,Apex Steel Manufacturing,apexsteel.com,+1-555-450-4657,GB29 NWBK 6016 0002 0002 02,2024-03-24,2024-04-14,"114 Commerce Blvd, Austin, TX 73301",ap@apexsteel.com,US-03-2341057
V-003,Atlas Logistics Group,atlaslogistics.com,+1-555-892-9935,GB29 NWBK 6016 0003 0003 03,2024-03-19,2024-05-25,"121 Logistics Ln, Denver, CO 80202",ap@atlaslogistics.com,US-04-1458591
V-004,Beacon Fabrication Co,beaconfabrication.com,+1-555-232-1488,GB29 NWBK 6016 0004 0004 04,2024-03-07,2024-04-30,"128 Steel Dr, Phoenix, AZ 85001",ap@beaconfabrication.com,US-05-1571945
V-005,Caldera Components Inc,calderacomponents.com,+1-555-717-1434,GB29 NWBK 6016 0005 0005 05,2024-03-07,2024-07-01,"135 Components Cir, Charlotte, NC 28201",ap@calderacomponents.com,US-06-9416129
V-006,Delta Engineering Systems,deltaengineering.com,+1-555-865-9928,GB29 NWBK 6016 0006 0006 06,2024-03-08,2024-05-28,"142 Engineering Ct, Portland, OR 97201",ap@deltaengineering.com,US-07-7038374
V-007,Eagle Materials Holdings,eaglematerials.com,+1-555-803-5557,GB29 NWBK 6016 0007 0007 07,2024-03-25,2024-07-13,"149 Supply Rd, Nashville, TN 37201",ap@eaglematerials.com,US-08-0109031
V-008,Falcon Manufacturing LLC,falconmanufacturing.com,+1-555-363-7924,GB29 NWBK 6016 0008 0008 08,2024-03-09,2024-04-20,"156 Foundry Ave, Raleigh, NC 27601",ap@falconmanufacturing.com,US-09-5708456
V-009,Granite Industrial Supply,graniteindustrial.com,+1-555-420-6514,GB29 NWBK 6016 0009 0009 09,2024-03-03,2024-05-19,"163 Harbor St, Madison, WI 53703",ap@graniteindustrial.com,US-10-1714803
V-010,Harbor Logistics Partners,harborlogistics.com,+1-555-299-6881,GB29 NWBK 6016 0010 0010 10,2024-03-20,2024-05-04,"170 Industrial Pkwy, Springfield, IL 62701",ap@harborlogistics.com,US-11-5770619
V-011,Iron Mountain Steel,ironmountain.com,+1-555-244-8527,GB29 NWBK 6016 0011 0011 11,2024-03-04,2024-07-28,"177 Manufacturing Way, Columbus, OH 43215",ap@ironmountain.com,US-12-8996414
V-012,Juniper Components Inc,junipercomponents.com,+1-555-587-2291,GB29 NWBK 6016 0012 0012 12,2024-03-10,2024-07-16,"184 Commerce Blvd, Austin, TX 73301",ap@junipercomponents.com,US-13-9261704
V-013,Kestrel Engineering Co,kestrelengineering.com,+1-555-843-6925,GB29 NWBK 6016 0013 0013 13,2024-03-07,2024-06-30,"191 Logistics Ln, Denver, CO 80202",ap@kestrelengineering.com,US-14-9686361
V-014,Lonestar Manufacturing Group,lonestarmanufacturing.com,+1-555-271-1750,GB29 NWBK 6016 0014 0014 14,2024-03-25,2024-05-08,"198 Steel Dr, Phoenix, AZ 85001",ap@lonestarmanufacturing.com,US-15-3823498
V-015,Meridian Industrial Supply,meridianindustrial.com,+1-555-281-4814,GB29 NWBK 6016 0015 0015 15,2024-03-13,2024-05-06,"205 Components Cir, Charlotte, NC 28201",ap@meridianindustrial.com,US-16-1694522
V-016,Northwind Logistics Inc,northwindlogistics.com,+1-555-664-6977,GB29 NWBK 6016 0016 0016 16,2024-03-12,2024-05-16,"212 Engineering Ct, Portland, OR 97201",ap@northwindlogistics.com,US-17-2728882
V-017,Orion Steel Holdings,orionsteel.com,+1-555-414-5374,GB29 NWBK 6016 0017 0017 17,2024-03-20,2024-06-21,"219 Supply Rd, Nashville, TN 37201",ap@orionsteel.com,US-18-1197935
V-018,Pinnacle Fabrication Co,pinnaclefabrication.com,+1-555-375-9751,GB29 NWBK 6016 0018 0018 18,2024-03-06,2024-05-30,"226 Foundry Ave, Raleigh, NC 27601",ap@pinnaclefabrication.com,US-19-4107245
